City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
5,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Rikitea,PF,76.24,clear sky,-23.1203,-134.9692,People ThankYou
19,Honiara,SB,76.93,scattered clouds,-9.4333,159.95,Heritage Park Hotel
22,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
25,Bereda,ES,75.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
34,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
37,Russell,US,80.91,few clouds,32.3502,-85.1999,Macs
39,Butaritari,KI,81.28,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
41,Kovur,IN,90.95,clear sky,14.4833,79.9833,Hotel Yesh Park
45,Nishihara,JP,77.05,mist,26.1842,127.7558,Minshuku Agaihama
48,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
51,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
54,Cabo San Lucas,MX,94.3,clear sky,22.8909,-109.9124,Vista Roof Restaurant
61,Hami,CN,77.23,scattered clouds,42.8,93.45,Laoyutang Resort
63,Namatanai,PG,78.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
64,Meiktila,MM,80.47,few clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
72,Kapaa,US,75.52,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Odienne,CI,90.68,broken clouds,9.51,-7.5692,Oustaz Vame DIAKITE
75,Najran,SA,85.42,few clouds,17.4924,44.1277,محمد هادي ال فطيح
78,Hobyo,SO,78.8,few clouds,5.3505,48.5268,Iftin hotel hobyo
83,Kirakira,SB,77.61,broken clouds,-10.4544,161.9205,SanBiz Lodge
86,Marsh Harbour,BS,81.32,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
88,Bandarbeyla,SO,81.97,scattered clouds,9.4942,50.8122,JABIR HOTEL
90,La Vega,DO,86.85,clear sky,19.2221,-70.5296,Hotel Rey
93,Loiza,PR,89.64,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
95,Qui Nhon,VN,81.1,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
96,Florida,US,89.58,clear sky,28.7505,-82.5001,Sportsmens Cove
104,Zanzibar,TZ,76.75,few clouds,-6.1639,39.1979,Tembo House Hotel
107,Hithadhoo,MV,84.27,scattered clouds,-0.6,73.0833,Scoop Guest House
108,Takoradi,GH,82.38,broken clouds,4.8845,-1.7554,Raybow International Hotel
111,Kapoeta,SS,83.01,overcast clouds,4.7717,33.5903,Eastgate Hotel
116,Saint George,US,88.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
117,Searcy,US,78.15,clear sky,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
119,Yenotayevka,RU,75.27,scattered clouds,47.2456,47.0281,Hotel Voyage
125,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
135,Baghdad,IQ,93.11,clear sky,33.3406,44.4009,Baghdad Hotel
140,Dicabisagan,PH,79.5,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
141,Wanning,CN,79.79,few clouds,18.8003,110.3967,Paradise Hotel
142,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
144,Isangel,VU,75.33,few clouds,-19.55,169.2667,Tanna Lodge
148,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
149,Humaita,BR,93.02,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
150,Sibolga,ID,75.9,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
153,Buala,SB,79.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
162,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
