City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Zhigansk,RU,2022-05-28 17:06:56,66.7697,123.3711,30.16,89,7,11.1,clear sky
1,Albany,US,2022-05-28 17:06:32,42.6001,-73.9662,75.02,80,89,10.27,overcast clouds
2,Cidreira,BR,2022-05-28 17:06:57,-30.1811,-50.2056,63.95,94,98,4.41,overcast clouds
3,Chara,RU,2022-05-28 17:06:57,56.9064,118.2631,35.91,94,100,4.36,light rain
4,Los Llanos De Aridane,ES,2022-05-28 17:06:57,28.6585,-17.9182,67.75,75,100,8.01,overcast clouds
5,Hilo,US,2022-05-28 17:06:58,19.7297,-155.09,78.28,92,100,6.91,overcast clouds
6,Mosquera,CO,2022-05-28 17:06:58,4.7059,-74.2302,62.69,59,75,14.97,broken clouds
7,Vaini,TO,2022-05-28 17:06:59,-21.2,-175.2,77.16,100,75,5.75,broken clouds
8,Puerto Ayora,EC,2022-05-28 17:06:59,-0.7393,-90.3518,78.76,91,99,8.99,overcast clouds
9,Cape Town,ZA,2022-05-28 17:06:59,-33.9258,18.4232,62.89,86,50,8.01,scattered clouds
10,Hobart,AU,2022-05-28 17:07:00,-42.8794,147.3294,42.06,95,40,4.61,scattered clouds
11,Rikitea,PF,2022-05-28 17:07:00,-23.1203,-134.9692,76.24,72,2,8.41,clear sky
12,Thinadhoo,MV,2022-05-28 17:07:01,0.5333,72.9333,84.07,71,86,10.96,overcast clouds
13,Asau,RO,2022-05-28 17:07:01,46.4333,26.4,60.96,96,100,4.76,overcast clouds
14,Clyde River,CA,2022-05-28 17:03:17,70.4692,-68.5914,26.83,74,40,9.22,scattered clouds
15,Tezu,IN,2022-05-28 17:07:02,27.9167,96.1667,71.83,94,44,4.12,scattered clouds
16,Busselton,AU,2022-05-28 17:07:02,-33.65,115.3333,55.33,66,87,12.91,overcast clouds
17,Haines Junction,CA,2022-05-28 17:07:03,60.7522,-137.5108,47.62,69,78,3.42,broken clouds
18,Jamestown,US,2022-05-28 17:04:57,42.097,-79.2353,61.95,94,100,9.22,mist
19,Honiara,SB,2022-05-28 17:07:03,-9.4333,159.95,76.93,85,44,2.75,scattered clouds
20,Guangyuan,CN,2022-05-28 17:07:04,32.442,105.823,67.73,82,98,2.75,overcast clouds
21,Tuktoyaktuk,CA,2022-05-28 17:07:04,69.4541,-133.0374,30.31,73,50,1.57,scattered clouds
22,Atuona,PF,2022-05-28 17:05:01,-9.8,-139.0333,77.58,81,22,15.93,light rain
23,Ribeira Grande,PT,2022-05-28 17:07:05,38.5167,-28.7,64.8,52,20,14.97,few clouds
24,Qaanaaq,GL,2022-05-28 17:07:05,77.484,-69.3632,31.06,81,93,6.17,light snow
25,Bereda,ES,2022-05-28 17:07:05,43.2686,-7.5406,75.42,58,64,6.98,broken clouds
26,Margate,GB,2022-05-28 17:07:06,51.3813,1.3862,56.7,65,39,5.01,scattered clouds
27,Upernavik,GL,2022-05-28 17:07:06,72.7868,-56.1549,28.54,73,40,3.94,scattered clouds
28,Evensk,RU,2022-05-28 17:07:07,61.95,159.2333,39.7,96,100,2.19,light rain
29,Zimmi,SL,2022-05-28 17:07:08,7.3153,-11.3061,80.26,88,89,5.57,light rain
30,Mataura,NZ,2022-05-28 17:07:08,-46.1927,168.8643,45.48,96,38,3.04,scattered clouds
31,Otjimbingwe,NA,2022-05-28 17:07:08,-22.35,16.1333,68.41,33,0,8.52,clear sky
32,Taksony,HU,2022-05-28 17:07:09,47.3297,19.0669,68.47,28,40,13.8,scattered clouds
33,Hailar,CN,2022-05-28 17:07:09,49.2,119.7,50.63,30,99,5.3,overcast clouds
34,Avarua,CK,2022-05-28 17:05:33,-21.2078,-159.775,75.25,88,29,4.61,scattered clouds
35,Dikson,RU,2022-05-28 17:07:10,73.5069,80.5464,27.55,95,22,8.66,few clouds
36,Fortuna,US,2022-05-28 17:07:10,40.5982,-124.1573,58.66,91,40,13.8,scattered clouds
37,Russell,US,2022-05-28 17:07:11,32.3502,-85.1999,80.91,50,20,0.0,few clouds
38,Talnakh,RU,2022-05-28 17:07:11,69.4865,88.3972,32.83,87,26,7.92,scattered clouds
39,Butaritari,KI,2022-05-28 17:07:11,3.0707,172.7902,81.28,78,97,13.42,overcast clouds
40,Araouane,ML,2022-05-28 17:07:12,18.9048,-3.5265,107.62,10,10,5.93,clear sky
41,Kovur,IN,2022-05-28 17:07:12,14.4833,79.9833,90.95,47,10,10.67,clear sky
42,Shelburne,CA,2022-05-28 17:03:29,44.0787,-80.2041,66.76,61,5,8.43,clear sky
43,Barrow,US,2022-05-28 17:04:09,71.2906,-156.7887,33.82,86,100,0.0,overcast clouds
44,Ushuaia,AR,2022-05-28 17:02:52,-54.8,-68.3,36.66,82,84,12.68,broken clouds
45,Nishihara,JP,2022-05-28 17:07:13,26.1842,127.7558,77.05,100,75,12.66,mist
46,Luena,AO,2022-05-28 17:07:14,-11.7833,19.9167,62.85,34,0,3.29,clear sky
47,Hermanus,ZA,2022-05-28 17:07:14,-34.4187,19.2345,56.8,80,47,19.55,light rain
48,Arraial Do Cabo,BR,2022-05-28 17:07:15,-22.9661,-42.0278,82.26,54,0,11.5,clear sky
49,Olden,NO,2022-05-28 17:07:15,61.8364,6.8064,48.94,93,100,4.99,overcast clouds
50,Castro,BR,2022-05-28 17:07:15,-24.7911,-50.0119,72.61,48,48,9.62,scattered clouds
51,Cayenne,GF,2022-05-28 17:07:16,4.9333,-52.3333,86.04,24,40,11.5,scattered clouds
52,Longyearbyen,SJ,2022-05-28 17:07:16,78.2186,15.6401,49.84,53,40,11.5,scattered clouds
53,Hualmay,PE,2022-05-28 17:07:17,-11.0964,-77.6139,68.61,69,63,11.1,broken clouds
54,Cabo San Lucas,MX,2022-05-28 17:06:02,22.8909,-109.9124,94.3,51,0,5.75,clear sky
55,Bluff,NZ,2022-05-28 17:07:17,-46.6,168.3333,45.81,88,81,9.13,broken clouds
56,Pevek,RU,2022-05-28 17:07:13,69.7008,170.3133,28.33,77,77,4.7,broken clouds
57,Severo-Kurilsk,RU,2022-05-28 17:07:18,50.6789,156.125,44.33,96,100,3.94,overcast clouds
58,Murray Bridge,AU,2022-05-28 17:07:18,-35.1167,139.2667,50.83,88,9,3.71,clear sky
59,Baykit,RU,2022-05-28 17:07:19,61.67,96.37,49.24,55,100,2.53,overcast clouds
60,Luderitz,NA,2022-05-28 17:07:19,-26.6481,15.1594,56.77,86,3,9.06,clear sky
61,Hami,CN,2022-05-28 17:07:19,42.8,93.45,77.23,28,49,8.88,scattered clouds
62,Yugorsk,RU,2022-05-28 17:07:20,61.3133,63.3319,51.19,96,82,3.38,broken clouds
63,Namatanai,PG,2022-05-28 17:07:20,-3.6667,152.4333,78.37,79,100,1.86,overcast clouds
64,Meiktila,MM,2022-05-28 17:07:21,20.8667,95.8667,80.47,71,13,14.67,few clouds
65,Saldanha,ZA,2022-05-28 17:07:21,-33.0117,17.9442,59.0,89,23,9.91,light rain
66,Norman Wells,CA,2022-05-28 17:07:21,65.282,-126.8329,46.04,52,82,8.39,broken clouds
67,Punta Arenas,CL,2022-05-28 17:04:15,-53.15,-70.9167,42.91,61,40,18.41,scattered clouds
68,Ponta Do Sol,PT,2022-05-28 17:07:22,32.6667,-17.1,73.71,67,84,10.6,broken clouds
69,Beira,MZ,2022-05-28 17:07:22,-19.8436,34.8389,71.69,83,20,6.91,few clouds
70,Saskylakh,RU,2022-05-28 17:07:23,71.9167,114.0833,18.55,96,94,0.74,overcast clouds
71,Isiro,CD,2022-05-28 17:07:23,2.7739,27.616,69.96,82,97,2.95,overcast clouds
72,Kapaa,US,2022-05-28 17:06:28,22.0752,-159.319,75.52,87,100,11.5,overcast clouds
73,Odienne,CI,2022-05-28 17:07:24,9.51,-7.5692,90.68,38,58,4.52,broken clouds
74,Mar Del Plata,AR,2022-05-28 17:07:24,-38.0023,-57.5575,53.94,61,0,12.66,clear sky
75,Najran,SA,2022-05-28 17:07:25,17.4924,44.1277,85.42,12,13,8.57,few clouds
76,Yerbogachen,RU,2022-05-28 17:07:25,61.2767,108.0108,40.41,55,55,1.97,broken clouds
77,Husavik,IS,2022-05-28 17:07:25,66.0449,-17.3389,50.16,58,6,6.26,clear sky
78,Hobyo,SO,2022-05-28 17:07:26,5.3505,48.5268,78.8,85,17,20.0,few clouds
79,Kruisfontein,ZA,2022-05-28 17:07:26,-34.0033,24.7314,61.88,80,20,16.28,few clouds
80,Chokurdakh,RU,2022-05-28 17:07:27,70.6333,147.9167,27.55,92,78,3.69,broken clouds
81,Ahipara,NZ,2022-05-28 17:07:27,-35.1667,173.1667,60.64,75,98,16.15,overcast clouds
82,Kodiak,US,2022-05-28 17:07:28,57.79,-152.4072,65.71,34,100,12.66,overcast clouds
83,Kirakira,SB,2022-05-28 17:07:28,-10.4544,161.9205,77.61,85,80,2.15,broken clouds
84,Whitianga,NZ,2022-05-28 17:07:28,-36.8333,175.7,60.37,74,100,13.89,overcast clouds
85,Lavrentiya,RU,2022-05-28 17:07:29,65.5833,-171.0,34.21,97,100,3.15,overcast clouds
86,Marsh Harbour,BS,2022-05-28 17:04:45,26.5412,-77.0636,81.32,69,94,12.8,overcast clouds
87,Pangnirtung,CA,2022-05-28 17:07:29,66.1451,-65.7125,31.48,75,40,1.7,scattered clouds
88,Bandarbeyla,SO,2022-05-28 17:07:30,9.4942,50.8122,81.97,77,25,25.17,scattered clouds
89,Comodoro Rivadavia,AR,2022-05-28 17:07:30,-45.8667,-67.5,44.46,42,0,17.27,clear sky
90,La Vega,DO,2022-05-28 17:07:31,19.2221,-70.5296,86.85,47,6,11.86,clear sky
91,Manjacaze,MZ,2022-05-28 17:07:31,-24.7117,33.8828,70.21,69,93,5.64,overcast clouds
92,Shimoda,JP,2022-05-28 17:07:32,34.6667,138.95,67.06,66,91,3.18,overcast clouds
93,Loiza,PR,2022-05-28 17:07:32,18.4313,-65.8802,89.64,63,40,19.57,scattered clouds
94,Puerto Quijarro,BO,2022-05-28 17:07:33,-17.7833,-57.7667,95.18,25,0,8.52,clear sky
95,Qui Nhon,VN,2022-05-28 17:07:33,13.7667,109.2333,81.1,76,39,6.11,scattered clouds
96,Florida,US,2022-05-28 17:07:01,28.7505,-82.5001,89.58,54,0,6.91,clear sky
97,Wageningen,NL,2022-05-28 17:07:33,51.9667,5.6667,60.24,59,75,11.5,broken clouds
98,Ballina,AU,2022-05-28 17:07:34,-28.8667,153.5667,58.78,82,1,10.8,clear sky
99,Derzhavinsk,KZ,2022-05-28 17:07:34,51.1,66.3167,63.34,55,51,6.96,broken clouds
100,Maridi,SS,2022-05-28 17:07:35,4.9158,29.4742,68.72,94,90,2.59,light rain
